ID,Authors,Year,Year_numeric,Decade,Title,Search engine,Classification,Problem_statement,Research_gap,Contribution,Method,Method_clean,Method_category,Method_detail,Study region,Study_region_clean,Study_region_continent,Numerical water value,Has_water_value,DOI,Extraction_source,Notes
1-014,"Pereira-Cardenal, S. J.; Mo, B.; Riegels, N. D.; Arnbjerg-Nielsen, K.; Bauer-Gottwein, P.",2015,2015,2015–2019,Optimization of Multipurpose Reservoir Systems Using Power Market Models,Scopus,A,"Management of Mediterranean surface water systems is complicated by high interannual inflow variability, necessitating better quantification of the economic benefits provided by reservoir storage across various hydrologic conditions.",Existing literature for Spanish basins lacked a robust methodology to determine state-dependent water value for storage that account for non-linear economic benefits and stochastic inflow patterns. (inferred).,"A modeling framework uses SDP to derive monthly water value functions for equivalent reservoir levels, demonstrating how storage values fluctuate between dry and very wet hydrologic years.",SDP,SDP,Optimization,SDP,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0000500,"Intro, Fig 2",
1-015,"Denaro, S.; Cuppari, R. I.; Kern, J. D.; Su, Y.; Characklis, G. W.",2022,2022,2020–2025,Assessing the Bonneville Power Administration’s Financial Vulnerability to Hydrologic Variability,ASCE Library,C,The Bonneville Power Administration faces significant financial risk from extreme and compound hydrometeorological events that impact the stability of the West Coast bulk electric power system.,Existing risk assessment frameworks lack integrated stochastic generators and unit commitment models that can simulate hourly system operations and wholesale prices under historical stationary trends. (inferred).,The CAPOW unit commitment and economic dispatch model accurately reproduces generation and transmission to simulate hourly system operations and wholesale prices for the Mid-C and CAISO markets.,MILP,MILP,Optimization,MILP,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0001590,"Stochastic Hydrometeorological Generator, CAPOW",
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",2019,2019,2015–2019,Benefits of Cooperation in Transnational Water-Energy Systems,ASCE Library,A,"Transboundary river basins experience significant economic impacts from competition between upstream hydropower and downstream irrigation interests, especially under population growth and climate change pressures.",Existing modeling frameworks for semiarid international basins often lack endogenous determination of hydropower values in a way that effectively simulates multi-sectoral reservoir operations. (inferred).,A methodology combining SDP with the water value method optimizes reservoir operations and maximizes agricultural benefits while minimizing power production costs in the Syr Darya.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0001047,"Intro, Sec 2",
1-017,"Côté, P.; Leconte, R.",2016,2016,2015–2019,Comparison of Stochastic Optimization Algorithms for Hydropower Reservoir Operation with Ensemble Streamflow Prediction,ASCE Library,B,Managing reservoir inflows is a difficult stochastic optimization problem because water supply cannot be forecasted accurately long in advance due to natural seasonality.,Previous studies lacked direct comparisons between diverse stochastic techniques using standardized test beds for operational multireservoir hydropower systems under identical inflow forecasts. (inferred).,A comparison test bed for four optimization techniques shows that sampling SDP provides better operating policies than deterministic approaches for multireservoir management.,Other,Other,Other,Other,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0000575,"Intro, Sec 3, Results",
1-018,"Yang, Y. E.; Zhao, J.; Cai, X.",2012,2012,2010–2014,Decentralized Optimization Method for Water Allocation Management in the Yellow River Basin,ASCE Library,A,"Centralized management models often fail to capture the spatial heterogeneity and complex interactions between individual water users, making them difficult to solve for nonlinear basin-level variables.",Previous research lacked a decentralized framework that reformulates optimization algorithms to determine local water prices under system equilibrium within a heterogeneous physical and political context. (inferred).,A decentralized optimization algorithm integrated with a Multiple Agent System (MAS) determines local water prices and balances human and natural water demands under market clearing conditions.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0000199,"Intro, Conclusions",
1-019,"Marques, G. F.; Lund, J. R.; Leu, M. R.; Jenkins, M.; Howitt, R.; Harter, T.; Hatchett, S.; Ruud, N.; Burke, S.",2006,2006,2005–2009,"Economically Driven Simulation of Regional Water Systems: Friant-Kern, California",ASCE Library,H,"Complex water resource systems require integrated management of physical, infrastructure, and economic components to support decision-making in agricultural regions where water value drives user behavior.",Engineering simulation models lack the capability to capture real behavior behind water use decisions in systems that are largely economically driven by market conditions.,An integrated model combines economic water demands with complex physical simulation in MODSIM to estimate operational impacts of policy alternatives for the Friant-Kern system.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)0733-9496(2006)132:6(468),"Intro, Regional Water System Simulation",
1-020,"Watkins, D. W.; Moser, D. A.",2006,2006,2005–2009,Economic-Based Optimization of Panama Canal System Operations,ASCE Library,H,Decision makers managing the Panama Canal system need to optimize reservoir releases for hydropower and navigation while accounting for both hydrologic variability and complex economic benefits.,Standard descriptive simulation models are unable to prescribe optimal monthly releases or estimate the economic benefits of marginal increases in system capacity under varying demands (inferred).,A prescriptive optimization model using the network primal simplex method determines optimal reservoir operations for hydropower generation and navigation while providing estimates of marginal economic benefits.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)0733-9496(2006)132:6(503),"Intro, Solution Algorithm, Summary",
1-021,"Génova, P.; Null, S. E.; Olivares, M. A.",2019,2019,2015–2019,Economic–Engineering Method for Assessing Trade-Offs between Instream and Offstream Uses,ASCE Library,B,Increasing population growth and climate change create intense competition between offstream hydropower uses and instream aquatic ecosystem or recreational water needs.,Existing hydro-economic models often fail to provide quantitative methods for valuing instream uses compared to well-established economic metrics for offstream water diversions.,A framework quantifying marginal water value trade-offs for instream and offstream uses demonstrates that environmental requirements significantly reduce hydropower generation benefits.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)WR.1943-5452.0001026,"Intro, Scenarios",
1-022,"Draper, A. J.; Jenkins, M. W.; Kirby, K. W.; Lund, J. R.; Howitt, R. E.",2003,2003,2000–2004,Economic-Engineering Optimization for California Water Management,ASCE Library,A,"California's complex water system traditionally relies on fragmented models that cannot provide a statewide, integrated economic-engineering overview necessary for identifying promising water transfers and facility expansions.","Scientific literature lacked a comprehensive, large-scale deterministic optimization model that reconciles statewide surface and groundwater data into a single, transparent, and documented intertied framework. (inferred).",The CALVIN model applies deterministic network flow optimization using economic objective functions to suggest management options like water marketing and cooperative operations for California’s entire system.,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,,Not specified,Not specified,Yes,True,10.1061/(ASCE)0733-9496(2003)129:3(155),"Modeling Objectives, Conclusions",
1-023,"Côté, P.; Arsenault, R.",2019,2019,2015–2019,Efficient Implementation of Sampling Stochastic Dynamic Programming Algorithm for Multireservoir Management in the Hydropower Sector,ASCE Library,B,"Multireservoir systems with more than three reservoirs face the curse of dimensionality, making standard stochastic dynamic programming (then ""SDP"") computationally slow.",Software implementations of sampling SDP often lack efficient parallelization and state-space discretization strategies necessary to solve four-reservoir systems within reasonable operational timeframes.,Improved sampling SDP algorithm using Benders cuts and parallelization reduces computation time to under three minutes for a complex four-reservoir hydropower system.,SDP,SDP,Optimization,SDP,,Not specified,Not specified,,False,10.1061/(ASCE)WR.1943-5452.0001050,"Abstract, Intro, Conclusions",
