ID,Authors,Title,Paper_year,WV_nominal_year,Country,Country_clean,Continent,State,Sub_state,Purpose,Purpose_clean,Method,Method_clean,Method_category,Method_detail,Paper_time_horizon,Paper_stochasticity,units,units_clean,WV_min_raw,WV_median_raw,WV_max_raw,Conversion_factor,Conversion_factor_note,WV_min,WV_median,WV_max,Notes,paper_metadata_source,paper_metadata_needs_review,is_time_horizon_imputed,is_stochastic_imputed,is_purpose_imputed
1-014,"Pereira-Cardenal, S. J.; Mo, B.; Riegels, N. D.; Arnbjerg-Nielsen, K.; Bauer-Gottwein, P.",Optimization of Multipurpose Reservoir Systems Using Power Market Models,2015,,Spain,Spain,Europe,,,mixed,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,Euro/MWh,EUR/MWh,,,,,,,,,we need to make some assumptions on the dams' water-electricity conversion to convert Euros/MWh WV into a unit in the format of $/m3. Do we have flow/volume release information from the paper?,full_text,no,1,1,0
1-014,"Pereira-Cardenal, S. J.; Mo, B.; Riegels, N. D.; Arnbjerg-Nielsen, K.; Bauer-Gottwein, P.",Optimization of Multipurpose Reservoir Systems Using Power Market Models,2015,2007,Spain,Spain,Europe,,,ag,Agriculture,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,Euro/m3,EUR/m³,,0.28,,,,,,,MMA paper in Pereira-Cardenal et al.'s reference,full_text,no,1,1,0
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",Benefits of Cooperation in Transnational Water-Energy Systems,2019,1960-1990 (water value method),Central Asia,Central Asia (region),Asia/Oceania,,,ag and hyd,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,USD/m3,USD/m³,0.075,,0.085,1.26,,0.0945,,0.1071,Scenario Basin_MS,full_text,no,1,1,0
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",Benefits of Cooperation in Transnational Water-Energy Systems,2019,1960-1990 (water value method),Central Asia,Central Asia (region),Asia/Oceania,,,ag and hyd,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,USD/m3,USD/m³,0.0731,,0.0731,1.26,,0.092106,,0.092106,Scenario Basin_SSPower,full_text,no,1,1,0
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",Benefits of Cooperation in Transnational Water-Energy Systems,2019,1960-1990 (water value method),Central Asia,Central Asia (region),Asia/Oceania,,,ag and hyd,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,USD/m3,USD/m³,0.0158,,0.016,1.26,,0.019908,,0.02016,Scenario Basin_SSAgr,full_text,no,1,1,0
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",Benefits of Cooperation in Transnational Water-Energy Systems,2019,1960-1990 (water value method),Central Asia,Central Asia (region),Asia/Oceania,,,ag and hyd,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,USD/m3,USD/m³,0.01,,0.03,1.26,,0.0126,,0.0378,Scenario National_MS,full_text,no,1,1,0
1-016,"Luchner, J.; Riegels, N. D.; Bauer-Gottwein, P.",Benefits of Cooperation in Transnational Water-Energy Systems,2019,1960-1990 (water value method),Central Asia,Central Asia (region),Asia/Oceania,,,ag and hyd,Mixed,SDP,SDP,Optimization,SDP,Medium-term,Stochastic,USD/m3,USD/m³,0.01,,0.03,1.26,,0.0126,,0.0378,Scenario National_SSPower,full_text,no,1,1,0
1-018,"Yang, Y. E.; Zhao, J.; Cai, X.",Decentralized Optimization Method for Water Allocation Management in the Yellow River Basin,2012,2000,China,China,Asia/Oceania,,,"ag, hyd,municipal and ind",Mixed,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,Medium-term,Deterministic,RMB/m3,CNY/m³,0.01,,1.45,0.2256,,0.002256,,0.32712,September,full_text,no,1,1,0
1-018,"Yang, Y. E.; Zhao, J.; Cai, X.",Decentralized Optimization Method for Water Allocation Management in the Yellow River Basin,2012,2000,China,China,Asia/Oceania,,,"ag, hyd,municipal and ind",Mixed,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,Medium-term,Deterministic,RMB/m3,CNY/m³,2.61,,5.4,0.2256,,0.588816,,1.21824,January,full_text,no,1,1,0
1-018,"Yang, Y. E.; Zhao, J.; Cai, X.",Decentralized Optimization Method for Water Allocation Management in the Yellow River Basin,2012,2000,China,China,Asia/Oceania,,,"ag, hyd,municipal and ind",Mixed,Econ-Engi,Econ-Engi,Economic-Engineering,Econ-Engi,Medium-term,Deterministic,RMB/m3,CNY/m³,,1.16,,0.2256,,,0.261696,, annual average water prices (Unified Water Flow regulation),full_text,no,1,1,0
